Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,
DP02_0023PE,Percent!!RELATIONSHIP!!Population in households!!Other relatives,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0023PEA, DP02_0023PM, DP02_0023PMA",0,float,DP02,
DP02_0024E,Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0024EA, DP02_0024M, DP02_0024MA",0,int,DP02,
DP02_0024PE,Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0024PEA, DP02_0024PM, DP02_0024PMA",0,float,DP02,
DP02_0025E,Estimate!!MARITAL STATUS!!Males 15 years and over,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0025EA, DP02_0025M, DP02_0025MA",0,int,DP02,
DP02_0025PE,Percent!!MARITAL STATUS!!Males 15 years and over,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0025PEA, DP02_0025PM, DP02_0025PMA",0,int,DP02,
DP02_0026E,Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0026EA, DP02_0026M, DP02_0026MA",0,int,DP02,
DP02_0026PE,Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0026PEA, DP02_0026PM, DP02_0026PMA",0,float,DP02,
DP02_0027E,"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0027EA, DP02_0027M, DP02_0027MA",0,int,DP02,
DP02_0027PE,"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0027PEA, DP02_0027PM, DP02_0027PMA",0,float,DP02,
DP02_0028E,Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0028EA, DP02_0028M, DP02_0028MA",0,int,DP02,
DP02_0028PE,Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0028PEA, DP02_0028PM, DP02_0028PMA",0,float,DP02,
DP02_0029E,Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0029EA, DP02_0029M, DP02_0029MA",0,int,DP02,
DP02_0029PE,Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0029PEA, DP02_0029PM, DP02_0029PMA",0,float,DP02,
DP02_0030E,Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0030EA, DP02_0030M, DP02_0030MA",0,int,DP02,
DP02_0030PE,Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0030PEA, DP02_0030PM, DP02_0030PMA",0,float,DP02,
DP02_0031E,Estimate!!MARITAL STATUS!!Females 15 years and over,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0031EA, DP02_0031M, DP02_0031MA",0,int,DP02,
DP02_0031PE,Percent!!MARITAL STATUS!!Females 15 years and over,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0031PEA, DP02_0031PM, DP02_0031PMA",0,int,DP02,
DP02_0032E,Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0032EA, DP02_0032M, DP02_0032MA",0,int,DP02,
DP02_0032PE,Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0032PEA, DP02_0032PM, DP02_0032PMA",0,float,DP02,
DP02_0033E,"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0033EA, DP02_0033M, DP02_0033MA",0,int,DP02,
DP02_0033PE,"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0033PEA, DP02_0033PM, DP02_0033PMA",0,float,DP02,
DP02_0034E,Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0034EA, DP02_0034M, DP02_0034MA",0,int,DP02,
DP02_0034PE,Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0034PEA, DP02_0034PM, DP02_0034PMA",0,float,DP02,
DP02_0035E,Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0035EA, DP02_0035M, DP02_0035MA",0,int,DP02,
DP02_0035PE,Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0035PEA, DP02_0035PM, DP02_0035PMA",0,float,DP02,
DP02_0036E,Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0036EA, DP02_0036M, DP02_0036MA",0,int,DP02,
DP02_0036PE,Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0036PEA, DP02_0036PM, DP02_0036PMA",0,float,DP02,
DP02_0037E,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0037EA, DP02_0037M, DP02_0037MA",0,int,DP02,
DP02_0037PE,Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0037PEA, DP02_0037PM, DP02_0037PMA",0,int,DP02,
DP02_0038E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0038EA, DP02_0038M, DP02_0038MA",0,int,DP02,
DP02_0038PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0038PEA, DP02_0038PM, DP02_0038PMA",0,float,DP02,
DP02_0039E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0039EA, DP02_0039M, DP02_0039MA",0,int,DP02,
DP02_0039PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0039PEA, DP02_0039PM, DP02_0039PMA",0,int,DP02,
DP02_0040E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0040EA, DP02_0040M, DP02_0040MA",0,int,DP02,
DP02_0040PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0040PEA, DP02_0040PM, DP02_0040PMA",0,int,DP02,
DP02_0041E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0041EA, DP02_0041M, DP02_0041MA",0,int,DP02,
DP02_0041PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0041PEA, DP02_0041PM, DP02_0041PMA",0,int,DP02,
DP02_0042E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0042EA, DP02_0042M, DP02_0042MA",0,int,DP02,
DP02_0042PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0042PEA, DP02_0042PM, DP02_0042PMA",0,int,DP02,
DP02_0043E,"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0043EA, DP02_0043M, DP02_0043MA",0,int,DP02,
DP02_0043PE,"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0043PEA, DP02_0043PM, DP02_0043PMA",0,int,DP02,
DP02_0044E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0044EA, DP02_0044M, DP02_0044MA",0,int,DP02,
DP02_0044PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0044PEA, DP02_0044PM, DP02_0044PMA",0,int,DP02,
DP02_0045E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0045EA, DP02_0045M, DP02_0045MA",0,int,DP02,
DP02_0045PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0045PEA, DP02_0045PM, DP02_0045PMA",0,float,DP02,
DP02_0046E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0046EA, DP02_0046M, DP02_0046MA",0,int,DP02,
DP02_0046PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0046PEA, DP02_0046PM, DP02_0046PMA",0,float,DP02,
DP02_0047E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0047EA, DP02_0047M, DP02_0047MA",0,int,DP02,
DP02_0047PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0047PEA, DP02_0047PM, DP02_0047PMA",0,float,DP02,
DP02_0048E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0048EA, DP02_0048M, DP02_0048MA",0,int,DP02,
DP02_0048PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0048PEA, DP02_0048PM, DP02_0048PMA",0,float,DP02,
DP02_0049E,Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0049EA, DP02_0049M, DP02_0049MA",0,int,DP02,
DP02_0049PE,Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0049PEA, DP02_0049PM, DP02_0049PMA",0,float,DP02,
DP02_0050E,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0050EA, DP02_0050M, DP02_0050MA",0,int,DP02,
DP02_0050PE,Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0050PEA, DP02_0050PM, DP02_0050PMA",0,int,DP02,
DP02_0051E,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0051EA, DP02_0051M, DP02_0051MA",0,int,DP02,
DP02_0051PE,Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0051PEA, DP02_0051PM, DP02_0051PMA",0,float,DP02,
DP02_0052E,Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0052EA, DP02_0052M, DP02_0052MA",0,int,DP02,
DP02_0052PE,Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0052PEA, DP02_0052PM, DP02_0052PMA",0,float,DP02,
DP02_0053E,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0053EA, DP02_0053M, DP02_0053MA",0,int,DP02,
DP02_0053PE,Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0053PEA, DP02_0053PM, DP02_0053PMA",0,int,DP02,
DP02_0054E,"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0054EA, DP02_0054M, DP02_0054MA",0,int,DP02,
DP02_0054PE,"Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0054PEA, DP02_0054PM, DP02_0054PMA",0,float,DP02,
DP02_0055E,Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,not required,"DP02_0055EA, DP02_0055M, DP02_0055MA",0,int,DP02,
